approxkl,clipfrac,eplenmean,eprewmean,explained_variance,fps,nupdates,policy_entropy,policy_loss,serial_timesteps,time_elapsed,total_timesteps,value_loss
0.00038492904,0.0028483074,722.55,1217.16,0.0061776041984558105,335,71,3.1210365,-0.00058144715,9088,706.0382182598114,218112,17.604313
0.00042541084,0.0014648438,724.59,1223.99,0.007199645042419434,332,72,3.1234555,-0.00091769354,9216,715.282007932663,221184,16.700499
0.00051966467,0.0041503906,743.5,1244.98,0.006730020046234131,278,73,3.1210365,-0.0006253901,9344,726.3061137199402,224256,23.292486
0.0005610572,0.01977539,768.57,1246.04,0.007375776767730713,296,74,3.1248453,-0.0011955674,9472,736.6702489852905,227328,23.561367
0.00045673072,0.0,781.56,1264.43,0.008191466331481934,317,75,3.130919,-0.000488276,9600,746.3362498283386,230400,14.5284605
0.00045856528,0.0026041665,780.13,1250.39,0.009335815906524658,313,76,3.1443615,-0.001244761,9728,756.1341927051544,233472,26.185127
0.00083009346,0.006510417,785.88,1256.13,0.01051640510559082,306,77,3.1452801,-0.0017627263,9856,766.1574416160583,236544,27.84691
0.0008158627,0.005289714,779.68,1238.08,0.010558784008026123,276,78,3.1314,-0.00028136655,9984,777.25843334198,239616,28.354855
0.00057894463,0.0041503906,761.43,1218.61,0.010837793350219727,299,79,3.1228004,-0.00121542,10112,787.5080032348633,242688,19.377998
0.00069486594,0.014078776,767.52,1238.78,0.009431660175323486,318,80,3.1045895,-0.0011204884,10240,797.1462073326111,245760,24.18561
0.0005734925,0.0014648438,761.32,1230.83,0.010372161865234375,310,81,3.1059542,-0.0006970681,10368,807.0527787208557,248832,22.410936
0.0008802472,0.04313151,775.72,1219.26,0.011838138103485107,315,82,3.1229925,-0.0014976882,10496,816.79980635643,251904,27.219547
0.0006404233,0.01993815,781.82,1237.52,0.010612785816192627,327,83,3.1483712,-0.0014005126,10624,826.1894860267639,254976,26.047869
0.0006402578,0.021809895,752.08,1241.62,0.01049131155014038,336,84,3.1513855,3.888848e-05,10752,835.3106706142426,258048,23.802664
0.00071611535,0.032877605,767.93,1224.28,0.01199805736541748,349,85,3.1678028,-0.0015263449,10880,844.0984447002411,261120,25.850666
0.0006147912,0.0043945312,788.84,1221.11,0.01304769515991211,277,86,3.1702905,-0.0009796032,11008,855.1574785709381,264192,25.129026
0.0007778879,0.014567058,779.17,1205.17,0.015657663345336914,291,87,3.161589,-0.00058054645,11136,865.6899647712708,267264,23.054768
0.00055339816,0.004313151,784.35,1218.14,0.014192581176757812,315,88,3.1643345,-0.00078885246,11264,875.4193181991577,270336,24.703182
0.0006346181,0.010416667,777.04,1199.04,0.004662871360778809,316,89,3.1560621,-0.00060024316,11392,885.1328573226929,273408,26.895374
0.0008282512,0.019856771,773.69,1191.31,0.013542532920837402,328,90,3.1520214,-0.0015913362,11520,894.485387802124,276480,24.790056
0.00072385167,0.021321617,771.41,1187.56,0.017954468727111816,323,91,3.1413977,-0.00069170044,11648,903.9904959201813,279552,22.013325
0.00044238046,0.0036621094,789.63,1211.12,0.016960978507995605,267,92,3.1518466,-0.0012042845,11776,915.489884853363,282624,17.003206
0.00043705385,0.0070800777,790.56,1217.14,0.020377695560455322,291,93,3.1434207,-0.0006969574,11904,926.0254108905792,285696,21.820671
0.00089164136,0.04280599,794.0,1226.64,0.020136773586273193,331,94,3.1522686,-0.00043118364,12032,935.3005969524384,288768,23.671064
0.0013582902,0.061035156,796.84,1229.76,0.012083232402801514,320,95,3.1478808,-0.0019435677,12160,944.8988983631134,291840,22.066628
0.0005858091,0.017089844,766.67,1201.67,0.01908320188522339,321,96,3.1518452,-0.001033189,12288,954.464123249054,294912,23.560753
0.00048312836,0.0017903646,734.59,1190.86,0.02003169059753418,310,97,3.163344,-0.0007848526,12416,964.3467633724213,297984,25.494781
0.00050169794,0.0,726.7,1187.19,0.025142550468444824,266,98,3.1676834,-0.00073541835,12544,975.8927850723267,301056,22.065489
0.00071454153,0.004231771,745.45,1207.62,0.02561873197555542,284,99,3.1574337,-0.0005034268,12672,986.6891467571259,304128,25.787697
0.00044534905,0.0057779946,721.08,1214.28,0.028700709342956543,310,100,3.1711814,-0.0008486466,12800,996.5722787380219,307200,24.289217
0.00084618124,0.026936848,713.83,1209.2,0.02773308753967285,310,101,3.1596012,-0.0011559175,12928,1006.4660971164703,310272,26.027206
0.00050092017,0.008626303,710.13,1202.8,0.03379237651824951,316,102,3.1674838,-0.0009880428,13056,1016.1664230823517,313344,20.349403
0.0006560045,0.01546224,686.16,1208.07,0.03047025203704834,321,103,3.1856914,-0.00092179194,13184,1025.7272453308105,316416,25.298544
0.00065749104,0.022054037,688.59,1205.67,0.02863466739654541,325,104,3.2015336,-0.0013366706,13312,1035.1615750789642,319488,25.470268
0.00092522695,0.032145184,677.95,1185.6,0.038542330265045166,341,105,3.1962934,-0.0013773696,13440,1044.1575708389282,322560,20.833685
0.0010909892,0.06363932,674.85,1177.54,0.029812216758728027,272,106,3.1884952,-0.0021232308,13568,1055.440361738205,325632,22.12237
0.0005200897,0.009195963,672.52,1170.87,0.03653746843338013,306,107,3.18773,-0.00092450035,13696,1065.4767482280731,328704,22.46629
0.00057663483,0.00032552084,668.16,1166.68,0.03594475984573364,343,108,3.2091546,-0.0011706159,13824,1074.4118113517761,331776,20.824873
0.00082337135,0.028238932,648.58,1165.07,0.048467278480529785,316,109,3.213509,-0.0009921079,13952,1084.1291570663452,334848,24.252558
0.00080124236,0.030273438,684.33,1186.56,0.032680630683898926,271,110,3.1991506,-0.0013453999,14080,1095.4377946853638,337920,28.680685
0.00083430274,0.02360026,686.33,1188.83,0.04529690742492676,300,111,3.192389,-0.0015379387,14208,1105.6481263637543,340992,13.724426
0.0005241588,0.020833334,694.24,1194.01,0.056363046169281006,308,112,3.194813,-0.00036535904,14336,1115.6104991436005,344064,24.373817
0.00051880616,0.015299479,693.69,1193.31,0.06698673963546753,308,113,3.2050295,-0.00046563605,14464,1125.5614321231842,347136,22.423908
0.0009107697,0.04248047,685.73,1183.54,0.06008726358413696,324,114,3.1942444,-0.0030324487,14592,1135.0204570293427,350208,26.511375
0.0007721231,0.016357422,689.58,1178.54,0.066181480884552,263,115,3.1748264,-0.00051618257,14720,1146.6661548614502,353280,22.297949
0.00080197677,0.027425129,683.82,1164.85,0.05093866586685181,283,116,3.1720145,-0.0016521486,14848,1157.5090897083282,356352,19.781992
0.00086856564,0.0320638,681.24,1161.4,0.06994611024856567,318,117,3.1568239,-0.0020972216,14976,1167.144373178482,359424,27.302298
0.0010330287,0.059244797,690.8,1177.07,0.06942862272262573,329,118,3.1542268,-0.00058301963,15104,1176.4721806049347,362496,17.705072
0.0012340446,0.063313805,691.58,1172.04,0.0823555588722229,271,119,3.1583788,-0.00045037534,15232,1187.7677342891693,365568,17.549734
0.0010984744,0.03914388,702.63,1184.0,0.0397413969039917,287,120,3.161839,-0.0013839066,15360,1198.453445672989,368640,21.440006
0.0008235287,0.029703777,699.7,1168.33,0.08957123756408691,313,121,3.170016,-0.0016377557,15488,1208.2673993110657,371712,16.052317
0.0016505484,0.0925293,699.2,1165.21,0.08450859785079956,318,122,3.114127,-0.0011022707,15616,1217.920269727707,374784,21.474356
0.0041945386,0.3370768,704.32,1165.75,0.09255290031433105,315,123,3.0913863,0.0025659723,15744,1227.6579494476318,377856,22.401323
0.001261373,0.076171875,705.63,1163.37,0.09450209140777588,318,124,3.074629,-0.0012153665,15872,1237.2978808879852,380928,16.406866
0.0010054229,0.047444664,704.33,1153.88,0.10155290365219116,273,125,3.0738192,-0.00047531133,16000,1248.5394215583801,384000,25.789886
0.0013958283,0.103271484,712.18,1156.49,0.09594845771789551,297,126,3.086707,-0.00059398665,16128,1258.8718593120575,387072,28.706339
0.0012001562,0.046223957,720.41,1167.63,0.10548132658004761,306,127,3.0876896,-0.00034139253,16256,1268.8852100372314,390144,16.37205
0.0013139318,0.078694664,729.58,1185.34,0.1290002465248108,321,128,3.1039977,-0.00133104,16384,1278.4496850967407,393216,23.638
0.0012537304,0.06022135,747.26,1212.72,0.14274191856384277,325,129,3.0798976,-0.0017724403,16512,1287.8931663036346,396288,16.014217
0.0011266152,0.053629555,746.57,1210.79,0.14789628982543945,327,130,3.05368,-0.0028590262,16640,1297.2709078788757,399360,18.972841
0.00069084717,0.024739584,730.42,1222.51,0.17171710729599,280,131,3.0326228,-0.0008710181,16768,1308.2370519638062,402432,18.313618
0.0008943688,0.0382487,721.48,1208.14,0.19554072618484497,305,132,3.0502234,-0.0013477114,16896,1318.2946639060974,405504,19.139025
0.0008321012,0.040201824,694.59,1210.59,0.17920243740081787,339,133,3.0381541,-0.0010590107,17024,1327.3339834213257,408576,21.183212
0.0017129662,0.120768234,687.2,1196.93,0.18360882997512817,325,134,2.9859354,-0.00018730837,17152,1336.7767446041107,411648,21.011568
0.0011441639,0.03816732,687.31,1197.26,0.19865381717681885,315,135,3.00307,-0.00077045837,17280,1346.5304157733917,414720,19.831518
0.000546716,0.0074869795,704.69,1216.51,0.20644253492355347,313,136,3.012547,-0.0010209209,17408,1356.3208148479462,417792,20.930672
0.00045560894,0.0062662764,715.94,1230.46,0.15838086605072021,272,137,3.0097497,-0.0008382018,17536,1367.6011328697205,420864,18.712833
0.00060569606,0.010091146,711.71,1237.16,0.26972776651382446,301,138,3.0031939,-0.0011150462,17664,1377.7951486110687,423936,16.596045
0.0008378715,0.03108724,706.79,1238.5,0.20981252193450928,322,139,2.9953089,-0.0014998497,17792,1387.321870803833,427008,25.662683
0.0011792068,0.06901042,690.25,1217.74,0.23912912607192993,332,140,2.971296,-0.0009874484,17920,1396.559350013733,430080,21.20995
0.0011864632,0.07722981,681.54,1225.34,0.2249528169631958,317,141,3.0023313,-0.0015412252,18048,1406.2352640628815,433152,23.214127
0.0012884572,0.078938805,680.95,1224.32,0.29984498023986816,311,142,2.9975867,-0.001225508,18176,1416.1099903583527,436224,15.525745
0.0011999041,0.042561848,681.53,1239.09,0.2652667760848999,277,143,2.9534476,-0.00011219351,18304,1427.1753215789795,439296,20.76179
0.0012695749,0.09236654,672.09,1245.19,0.2827737331390381,295,144,3.011964,-0.0012598117,18432,1437.56280875206,442368,20.225683
0.0008444017,0.029215494,668.93,1268.76,0.3478233814239502,308,145,3.0217366,-0.0013055953,18560,1447.5265047550201,445440,17.43338
0.00064379274,0.01546224,673.5,1286.1,0.31561851501464844,303,146,3.0080557,-0.0015299873,18688,1457.6578981876373,448512,24.086586
0.0005878096,0.018554688,665.46,1279.9,0.2769671678543091,270,147,3.0249603,-0.0011569466,18816,1469.023931503296,451584,15.606224
0.0008643144,0.045084633,656.15,1266.59,0.43663328886032104,297,148,3.0308492,-0.0012213362,18944,1479.3683986663818,454656,14.629124
0.0009026157,0.04541016,646.34,1251.06,0.38798439502716064,316,149,3.0307126,-0.0009734106,19072,1489.0683224201202,457728,20.405516
0.00052053394,0.008300781,636.85,1253.02,0.33468329906463623,322,150,3.0621681,-0.0010952648,19200,1498.6084315776825,460800,17.858116
0.0003658643,0.005533854,627.22,1249.7,0.4607008099555969,318,151,3.0526438,-0.0008787618,19328,1508.2401785850525,463872,17.143396
0.0009664777,0.053955078,629.4,1256.37,0.43361198902130127,317,152,3.074626,-0.0016503358,19456,1517.9274113178253,466944,13.931101
0.0011035036,0.07218424,619.78,1243.55,0.4200320243835449,273,153,3.057644,-0.0013283734,19584,1529.1566259860992,470016,16.666334
0.0016049009,0.099365234,614.83,1230.15,0.5628725290298462,304,154,3.0378833,-0.0013991577,19712,1539.2418158054352,473088,14.083633
0.0011177354,0.0694987,625.66,1258.16,0.48288941383361816,310,155,3.0073736,0.00026474096,19840,1549.1461565494537,476160,16.498154
0.0017250353,0.1155599,617.03,1257.94,0.5504579842090607,320,156,2.9883213,-0.0017564995,19968,1558.7223734855652,479232,12.692174
0.00096630916,0.044433597,620.31,1262.21,0.44596266746520996,318,157,3.0020194,-0.001206262,20096,1568.3666956424713,482304,18.57268
0.0023181224,0.14501953,624.13,1249.55,0.5183351039886475,283,158,3.0478296,8.7127104e-05,20224,1579.2097864151,485376,16.794094
0.0017549251,0.12158204,611.93,1238.17,0.59028559923172,299,159,3.018649,-0.0014371612,20352,1589.472588300705,488448,14.131399
0.0007425075,0.02498372,621.84,1247.53,0.5609506964683533,327,160,2.983869,-0.00049629685,20480,1598.8671615123749,491520,16.616667
0.00095457607,0.032307945,621.84,1247.53,0.5489298403263092,340,161,3.012109,-0.0014554438,20608,1607.8826134204865,494592,13.882748
0.0011566763,0.056152344,621.58,1239.36,0.6128861010074615,322,162,2.9873443,-0.0017101952,20736,1617.422857284546,497664,15.794603
0.002045311,0.11360677,623.34,1245.86,0.6254132390022278,339,163,2.9384542,-0.0016026335,20864,1626.4639327526093,500736,16.621347
0.0020223123,0.14819336,631.8,1265.92,0.5725698173046112,276,164,2.960695,0.001275859,20992,1637.5584650039673,503808,17.17339
0.00093847734,0.047037758,659.98,1274.01,0.726897656917572,307,165,2.9091988,-0.0014604236,21120,1647.558079957962,506880,9.880803
0.0017676488,0.13264975,658.53,1272.13,0.6599700450897217,323,166,2.89051,-0.00093214196,21248,1657.0681054592133,509952,15.221048
0.00082651107,0.021809896,656.95,1244.45,0.5558294653892517,314,167,2.8437512,-0.00035787775,21376,1666.8335580825806,513024,18.350277
0.00077711523,0.02294922,658.63,1254.9,0.651246577501297,321,168,2.8447015,-0.0010050707,21504,1676.3862347602844,516096,13.956654
0.0009780814,0.055419922,659.49,1254.6,0.6408819556236267,264,169,2.8422842,-0.0012670942,21632,1687.998332977295,519168,16.102
0.0015660201,0.10392252,687.47,1267.62,0.6355311572551727,293,170,2.8449922,-0.0015826407,21760,1698.4746718406677,522240,16.537392
0.0013018849,0.07397461,695.78,1286.53,0.7261865735054016,318,171,2.8689964,-0.0018812462,21888,1708.1242501735687,525312,9.99656
0.002392049,0.15388997,693.65,1278.21,0.6970671117305756,314,172,2.859028,-0.0007700362,22016,1717.898761510849,528384,14.275156
0.0014795833,0.0941569,697.63,1280.99,0.6538037359714508,310,173,2.863771,-0.0018896882,22144,1727.8060510158539,531456,14.548533
0.0005148117,0.018554688,704.03,1289.34,0.718993216753006,326,174,2.8152037,-0.001275222,22272,1737.2026827335358,534528,14.846121
0.0023166835,0.18017577,704.28,1289.15,0.6624137461185455,324,175,2.8172536,8.166446e-05,22400,1746.678655385971,537600,12.9754
0.0023844906,0.17952473,713.63,1300.66,0.6478084027767181,328,176,2.8030946,3.585845e-05,22528,1756.0249435901642,540672,19.40123
0.001325953,0.08789062,738.15,1367.94,0.6852497160434723,277,177,2.8516603,0.00015001553,22656,1767.1160261631012,543744,15.752348
0.004548719,0.21248373,743.61,1393.81,0.7215710282325745,306,178,2.8184261,0.003710326,22784,1777.1392421722412,546816,17.87051
0.0009941678,0.0550944,738.1,1379.99,0.6632948517799377,311,179,2.9091063,-0.0021037178,22912,1786.9900660514832,549888,16.584589
0.0009347526,0.04492188,769.65,1398.99,0.6759515702724457,326,180,2.8823802,-0.0013481274,23040,1796.3954076766968,552960,14.085638
0.0012203127,0.074300125,775.82,1420.75,0.6622321903705597,274,181,2.9027662,-0.0014849869,23168,1807.5726466178894,556032,15.010752
0.0012052596,0.078125,755.84,1441.46,0.7276866436004639,309,182,2.8739,-0.0020706349,23296,1817.4993932247162,559104,14.149684
0.00078267,0.026855469,760.0,1455.13,0.6970510482788086,347,183,2.829952,-0.0010178235,23424,1826.3306329250336,562176,16.746761
0.0009945156,0.051676434,762.33,1472.54,0.7395859360694885,342,184,2.836505,-0.0013199165,23552,1835.2989165782928,565248,12.909408
0.0028024483,0.22599284,756.2,1467.02,0.740189790725708,334,185,2.7923877,-0.0010444472,23680,1844.476568222046,568320,12.910657
0.00083098054,0.044026695,750.83,1460.66,0.7558445632457733,333,186,2.7684822,-0.0016480536,23808,1853.6894476413727,571392,12.027124
0.00091228803,0.032796223,717.75,1452.61,0.7827623039484024,266,187,2.759008,-0.0011872441,23936,1865.2278249263763,574464,11.704534
0.0008562124,0.036946613,718.38,1463.71,0.7913122773170471,311,188,2.7911057,-0.001379415,24064,1875.091097354889,577536,11.167977
0.0008103475,0.03531901,702.05,1431.45,0.7940759807825089,319,189,2.7576365,-0.0016022186,24192,1884.7214035987854,580608,12.317158
0.0005008957,0.013183594,693.91,1422.8,0.7752142250537872,321,190,2.7907488,-0.00075818156,24320,1894.2723999023438,583680,11.796617
0.0007709147,0.03483073,663.31,1411.25,0.8033419698476791,315,191,2.755784,-0.0012833315,24448,1904.0009906291962,586752,11.665324
0.000960873,0.052164715,656.56,1401.05,0.739559143781662,311,192,2.7941754,-0.0013403281,24576,1913.8573853969574,589824,13.303383
0.0011041609,0.07600912,648.31,1398.6,0.7935244739055634,266,193,2.7983367,-0.0015569329,24704,1925.3943946361542,592896,10.884465
0.0008546081,0.033691406,643.67,1385.58,0.8040426671504974,301,194,2.8195512,-0.00117691,24832,1935.5948643684387,595968,12.1936245
0.0018467318,0.118733734,637.82,1372.18,0.8495053052902222,308,195,2.8290415,-0.0020162398,24960,1945.5414407253265,599040,8.84416
0.00085920625,0.03466797,613.57,1329.5,0.7760184705257416,307,196,2.8421586,-0.0008584479,25088,1955.5312263965607,602112,14.407033
0.001601962,0.08935547,608.61,1316.32,0.7805252522230148,317,197,2.8652582,-0.0027420884,25216,1965.1976857185364,605184,14.201938
0.0015690231,0.074625656,609.85,1314.76,0.8183476626873016,325,198,2.8571653,-0.0015048784,25344,1974.6362354755402,608256,11.599892
0.0007500023,0.04378255,583.26,1316.91,0.8202564567327499,287,199,2.8467815,-0.0013178051,25472,1985.3279242515564,611328,11.479919
